NAMESPACE                             NAME                                                            READY   STATUS    RESTARTS        AGE
vertc-portal-ri-backend-hml           vertc-portal-ri-backend-hml-back-648c6f77db-7mvgz               1/1     Running   0               8d
vertc-portal-ri-backend-qa            vertc-portal-ri-backend-qa-back-c8878d5d8-qsr9n                 1/1     Running   0               2d2h
vertc-portal-ri-backend-stg           vertc-portal-ri-backend-stg-back-6755dff589-672qp               1/1     Running   0               23h
vertc-registrolastos-hml              vertc-registrolastos-hml-back-7d688b95bb-rvvm6                  1/1     Running   0               7d5h
vertc-registrolastos-hml              vertc-registrolastos-hml-kafka-74696f54-4twtx                   1/1     Running   0               23h
vertc-registrolastos-hml              vertc-registrolastos-hml-worker-7cf8d746cc-mkdgm                1/1     Running   0               7d3h
vertc-verifica-lastros-hml            vertc-verifica-lastros-hml-back-5bdc48977c-ssh2f                1/1     Running   0               7d22h
vertc-verifica-lastros-hml            vertc-verifica-lastros-hml-kafka-7874786755-rnqch               1/1     Running   0               8d
vertc-verifica-lastros-stg            vertc-verifica-lastros-stg-back-89d5c4885-tdcnx                 1/1     Running   0               8d
vertc-verifica-lastros-stg            vertc-verifica-lastros-stg-kafka-66dc588899-m7czl               1/1     Running   0               23h
